_id,saep,dateSituation,cause,dateResolution,etat
210,DOUAR EL BAY ELLOZGA,2020-07-07,Baisse de débit en période de pointe au niveau du piquage Sonede.,en cours d'exécution des travaux de recalibrage de la conduite d'adduction qui alimente le point de piquage (au niveau de la station de reprise : Douar el Bay ) par la SONEDE   (Prière d'intervenire auprès de la SECADENORD pour activer l'autorisasation à la SONEDE pour le travarsée du CANAL )                                                NB: Travaux de pose achevés et reste l'auorisation de la SECADENORD  pour le traversée du CANAL,P
211,El Achaich,2020-06-30,,,F
212,Katt Jlass,2020-06-30,Branchement illicite,juil-20,P
213,El Fejja,2020-06-30,,,F
214,El Machta,2020-06-30,,,F
215,Missra,2020-06-30,,,F
216,Sidi Abid,2020-06-30,,,F
217,El Marja,2020-06-30,,,F
218,El Khlij,2020-06-30,,,F
219,Cebelet Ben Ammar,2020-06-30,0 encore identifié,,P
220,Jbal Ammar,2020-06-30,,,F
222,Cherfech 24,2020-06-30,,,F
17,Zaten,2020-07-07,,,F
18,Ladbech Lachraf,2020-07-07,,,F
223,Cité Fellahin,2020-06-30,,,F
224,Chebbaou,2020-06-30,,,F
225,Jbal Touba,2020-06-30,,,F
226,Sidi Fnar,2020-06-30,,,F
227,AMROUN,2020-06-30,,,F
228,SIDI MHAMED,2020-06-30,,,F
229,FEJJ EL FAHEM,2020-06-30,,,F
230,OULED ABBES,2020-06-30,,,F
231,AL MARIRA-MKNIN,2020-06-30,,,F
232,AIN OM EL JOUDOUR,2020-06-30,,,F
233,AL GHRAYSIA ET AROUASIA,2020-06-30,,,F
234,HENCHIR ELGHANAM,2020-06-30,,,F
235,ZLEFNA LAHWALA,2020-06-30,,,F
236,GHLAEYKEYA,2020-06-30,,,F
237,MAJA,2020-06-30,Manque de ressources en eau,,A
238,EL FAWAR EL BLAD,2020-06-30,,,F
239,BARMEJNA,2020-06-30,,,F
240,OULED MASSAOUD EL GARGARA,2020-06-30,,,F
241,IBRAHIM EZZAHAR,2020-06-30,,,F
242,ETTAIMLEYA,2020-06-30,,,F
243,AIN HDIA 1,2020-06-30,Endettement Steg ( le système est fonctinnel suite à l'échelonnement de paiement de la dette ),,F
244,DAAESSEYA,2020-06-30,,,F
245,EL FHIS,2020-06-30,,,F
246,ABAR TAGHOUT,2020-06-30,,,F
247,ELGNEZAAYA,2020-06-30,,,F
248,ECHEFEI,2020-06-30,Manque de ressources en eau ( le système sera desservie dés l'achevement des travaux du SAEP ELKhol cofinancé par Le BID Taux d'avancement des travaux 45%),,A
249,OUED EL KRAM,2020-06-30,,,F
250,HENCHIR ETTOUNSI BOUAARARA,2020-06-30,Manque de ressources en eau ( la population  dispose d'un SAEP qui a été abondonné depuis les années 90 suite à leur désir de se desservir à partir de la SONEDE ),,P
251,ARAMILA,2020-06-30,,,F
252,AOULED EL GHAOI,2020-06-30,,,F
253,EJWA EL MRAWNA,2020-06-30,,,F
254,ECHABNIA,2020-06-30,,,F
255,AIN AL KOHAL AL HANACHIR LAJRED,2020-06-30,,,F
256,AWLED ADHAYF ET AWLED KHALFA,2020-06-30,,,F
257,BOUMEFTAH,2020-06-30,,,F
258,ESSAMELYA,2020-06-30,Probléme foncier (forage),,P
259,HENCHIR BOUANZ ETEBAGA,2020-06-30,,,F
260,FOUM EDHFA,2020-06-30,,,F
261,BIR CHAABANE 1,2020-06-30,,,F
262,JABBES,2020-06-30,,,F
263,EL MSABHIA,2020-06-30,,,F
264,AIN ZAYEN-1,2020-06-30,,,F
265,OM KCHIBA,2020-06-30,,,F
266,EL GHONNA,2020-06-30,,,F
267,HENCHIR EL ASAL,2020-06-30,,,F
268,OM FEDGHA,2020-06-30,Manque de ressources en eau,,A
271,MAZREG CHAMS,2020-06-30,,,F
272,FIDH EL METHNEN,2020-06-30,,,F
273,SFICIFA,2020-06-30,,,F
274,EL BNENA,2020-06-30,,,F
275,LEBIRA I,2020-06-30,,,F
276,LEBIRA II,2020-06-30,,,F
277,AIN ZAYEN-2,2020-06-30,Probléme foncier (l'acquisition et        l'installation des compteurs individuels par les bénéficiaires n'a pas encore été achevés),,A
278,FEJ ATEFEL,2020-06-30,,,F
279,ESSATOUR,2020-06-30,,,F
280,OULED BENJEH,2020-06-30,,,F
281,KHMOUDA II,2020-06-30,,,F
282,OM LAHWADH,2020-06-30,,,F
283,EL ADHIRA III,2020-06-30,,,F
284,EL MOGHROUN,2020-06-30,,,F
285,EJERWALA,2020-06-30,,,F
286,AROUBAIYA,2020-06-30,,,F
287,AOULED HLAL,2020-06-30,,,F
288,MRAWNA,2020-06-30,,,F
289,OULED RAIS,2020-06-30,,,F
290,HENCHIR AL KALLEL,2020-06-30,,,F
291,EL WASSAIA,2020-06-30,Manque de ressources en eau,,A
292,ETTORCH,2020-06-30,,,F
293,HENCHIR EL KASSAA,2020-06-30,,,F
294,BOUKHIL,2020-06-30,Endettement STEG,,A
295,EL MZIRAA,2020-06-30,,,F
296,OULED NASRALLAH,2020-06-30,,,F
297,EL KWASSEM,2020-06-30,,,F
298,SIDI HARRATH & SGHAIREYA,2020-06-30,,,F
299,OULED MASSAOUD,2020-06-30,,,F
300,JLEL II,2020-06-30,En attente de l'installation des compteurs individuels par les bénéficiaires +Nécessité d'une intervention sur le forage.,,A
301,OUED MAAYOU,2020-06-30,Endettement STEG,,A
302,ABDEL ADHIM,2020-06-30,"le forage a été crée en 2019, en attente de le raccorder au système aprés son réhabilitation ",,A
303,JWAMAA,2020-06-30,,,F
304,ALI EL MAJNOUN,2020-06-30,,,F
305,ESSAREG LAHMAR,2020-06-30,,,F
306,ERHAYAT,2020-06-30,Endettement STEG,,A
307,FEJJ ETTINE,2020-06-30,,,F
308,SIDI ASKAR,2020-06-30,Endettement STEG,,A
309,AICH AL KABECH,2020-06-30,Manque de ressources en eau ( forage à remplacer ),,A
310,EL GRADEK 4,2020-06-30,Manque de ressources en eau ( forage à remplacer ),,A
311,EL GRADEK 1,2020-06-30,,,F
312,BOUHSSEIN,2020-06-30,,,F
313,EL HECHA,2020-06-30,,,F
314,TWALBIA,2020-06-30,,,F
315,RMILA,2020-06-30,le raccordement du SAEP au nouveau forage sera exécuté lors de la coclusion du marché établie en conséquence qui est actuellement en cours de signature,,A
316,WAJEH EL GARAA,2020-06-30,,,F
317,WAJEH EL KAMIM,2020-06-30,,,F
318,WECHWACHA,2020-06-30,,,F
319,METHNENIA,2020-06-30,,,F
320,BOUAZIZ,2020-06-30,,,F
321,OULED JABALLAH,2020-06-30,,,F
322,MZARA,2020-06-30,,,F
323,SIDI AMMAR,2020-06-30,,,F
324,BOUSSAFA 1,2020-06-30,,,F
325,MEGDOUDICH,2020-06-30,,,F
326,ZGHAEIBEYA,2020-06-30,,,F
327,FKIRINA,2020-06-30,,,F
328,FEJ LAHDID,2020-06-30,Endettement STEG,,A
329,SNEK,2020-06-30,,,F
330,AMAMREYA,2020-06-30,,,F
331,TAM SMIDA 2,2020-06-30,,,F
332,SALTNIA,2020-06-30,,,F
333,GARAA HENCHIR GARSELLAH,2020-06-30,,,F
334,GRAAT NAAM,2020-06-30,,,F
335,SIDI HAMOUDA CHAMALYA,2020-06-30,,,F
336,AOULED BOUAZIZ,2020-06-30,Manque de ressources en eau,,A
337,KODYET MOUSSA,2020-06-30,,,F
338,EL BRAJA,2020-06-30,,,F
339,BIR SAFIA,2020-06-30,,,F
340,FEJJ NAAM,2020-06-30,,,F
341,OULED AHMED,2020-06-30,,,F
342,GOUBEL,2020-06-30,,,F
343,HENCHIR ETTAIEB 1,2020-06-30,,,F
344,MKISMET,2020-06-30,,,F
345,GARAAT GHILEN,2020-06-30,,,F
346,OULED ABDERAHIM,2020-06-30,,,F
347,BRAHMIA SWALMEYA,2020-06-30,,,F
348,AAMAMREYA,2020-06-30,,,F
349,OULED SALEM,2020-06-30,,,F
352,AL JADRA AL OLIA/JEDRA,2020-06-30,,,F
353,ETTAWAFOK,2020-06-30,,,F
354,SOULA 1 & SOULA,2020-06-30,,,F
355,KROUU AL JODRA,2020-06-30,,,F
356,OULED ABBAS,2020-06-30,,,F
357,ESSGHAYRIA,2020-06-30,,,F
358,SOULA 1 & SOULA 3,2020-06-30,,,F
359,SOULA 1 & SOULA 2,2020-06-30,,,F
360,HENCHIR OM EL KHIR,2020-06-30,,,F
361,ZNAYDIYA,2020-06-30,,,F
362,EL FAKKA EL BAELYA,2020-06-30,,,F
363,ESSDID 1,2020-06-30,Endettement STEG,,A
364,AL MSILA,2020-06-30,,,F
365,ENNADHOUR II,2020-06-30,,,F
366,ENAJAH,2020-06-30,,,F
367,OKLAT D.AHMED,2020-06-30,,,F
368,EL KARACHOUN,2020-06-30,,,F
369,GOOR LADEEM,2020-06-30,,,F
370,AL ATEK,2020-06-30,,,F
371,FAKAT AL KHADEM A. MANSOUR,2020-06-30,,,F
373,ENNASSREYA,2020-06-30,,,F
374,ENNADHOUR 1,2020-06-30,,,F
376,AL AFRACH,2020-06-30,,,F
377,GREYEREYA,2020-06-30,,,F
378,FEIDH EL AMAL,2020-06-30,,,F
379,EL AKROUT,2020-06-30,,,F
380,CHTETHEYA,2020-06-30,,,F
381,EL HERYA,2020-06-30,,,F
382,AKROUT,2020-06-30,,,F
383,EL HARACHNA JDAYET,2020-06-30,,,F
384,EL GTAYFIA,2020-06-30,,,F
385,El Guedara,2020-06-30,,,F
386,Essaafet,2020-06-30,,,F
387,El Houd,2020-06-30, Travaux de réhabilitation en cours,,F
388,Ouled Hachena,2020-06-30,,,F
389,El Itha,2020-06-30, Travaux de réhabilitation en cours,,F
390,Oued Hamouda,2020-06-30,,,F
391,El Brahmia,2020-06-30,,,F
392,Ettoualeb 1,2020-06-30,,,F
393,Esskhaibia,2020-06-30,,,F
394,Ettoualeb 2,2020-06-30,,,F
395,Essoudene,2020-06-30, Travaux de réhabilitation en cours,,F
396,Chamess,2020-06-30,,,F
397,Echwardia,2020-06-30,,,F
398,Ouled Hamrouni,2020-06-30,,,F
399,Ouled Abed ennebi,2020-06-30,,,F
400,El Boussra,2020-06-30,,,F
401,Ennbaeitte,2020-06-30,Casses fréquente sur un tronçon du  réseau de distribution n'engendrant pas l'arrêt du système / le GDA assure la maintenance et la réparation des fuites / consultation en cours sur le PRD pour le changement du tronçon en question,,F
402,Ouled Amara,2020-06-30,,,F
403,El Bkour,2020-06-30,,,F
404,El Maata,2020-06-30,,,F
405,Ouled Lahouel,2020-06-30,,,F
406,El Arayguia,2020-06-30,,,F
407,Allaya,2020-06-30,,,F
408,Bouslim,2020-06-30,,,F
409,Mharza,2020-06-30,Baisse de débit en période de pointe au niveau du piquage Sonede,,P
410,Kraaid,2020-06-30,,,F
411,Bir Maleh,2020-06-30,"Casses fréquentes sur un tronçon du réseau de distribution n'engendrant pas l'arrêt du système / le GDA assure la maintenance et la réparation des fuites / consultation en cours sur le PRD pour le changement du tronçon en question,",,F
413,Ouled Mlik,2020-06-30,,,F
414,SIDI ACHOUR ,2020-06-30,,,F
415,BORJ EL KHALSI,2020-06-30,,,F
416,BIR EJJDID,2020-06-30,,,F
417,MASAADINE,2020-06-30,,,F
418,DRIJA ,2020-06-30,,,F
419,FIDH ALA AMRINE ,2020-06-30,,,F
420,NFAIDH ,2020-06-30,1-Baisse de débit en période de pointe au niveau du piquage Sonede.                                         2-Panne au niveau du transformateur de la station de reprise 50 m3 existante le 27/06/2020.,1-Préparartion des deux  ordres de service des comencements à parir du 05/07/2020 pour l'exécution et l'équipement HEM d'une station  de reprise  (Délai d'exécution 120 jours).                          2-Dépannage par un groupe éléctrogène le 28/06/2020 en attendatant le rebobinage du transformateur dans un délais de 15 jours.,P
421,MAHFOURA,2020-06-30,,,P
422,KHRIBA,2020-06-30,,,F
423,ERRABTA,2020-06-30,,,F
424,TIRRASSET,2020-06-30,,,F
425,BOOLI ,2020-06-30,,,F
426,BEN GHNIA ,2020-06-30,,,F
427,HINCHIR EZOUYA/SIDIALI BEN OUN,2020-06-30,,,F
428,SIDI SAID,2020-06-30,,,F
429,HENNA ,2020-06-30,,,F
430,GANTOURIA ,2020-06-30,,,F
431,MANZEL SHAL ,2020-06-30,,,F
432,MANZEL AMOR (chaouat),2020-06-30,,,F
433,HKAIMIA ,2020-06-30,,,F
434,GUECHBA SIDI SALEM ,2020-06-30,,,F
435,HENNA ET DHNIBA ,2020-06-30,,,F
436,SIDI ALI HATTAB ,2020-06-30,,,F
437,BOUHAMED,2020-06-30,,,F
438,AIN KARMA,2020-06-30,,,F
439,MAAFRINE ,2020-06-30,,,F
440,FAZANINE,2020-06-30,,,F
441,JNAIDIA,2020-06-30,,,F
442,MELLEHA,2020-06-30,,,F
443,GAFFAYA,2020-06-30,,,F
444,AIN HAWARIA,2020-06-30,,,F
445,MAGTAA ET NADHOUR,2020-06-30,,,F
446,BOUALI,2020-06-30,,,F
447,TYAYRA,2020-06-30,,,F
448,BEJA KADIMA,2020-06-30,,,F
449,BOUKHARROUBA,2020-06-30,,,F
450,Alanda 1,2020-06-23,,,F
451,Alanda 2,2020-06-23,,,F
452,Oued Jdari,2020-06-23,Endettement Sonede,,A
453,Zamour,2020-06-23,manque financement  pour éléctrification,,A
454,Ayeycha,2020-06-23,,,F
455,DOUAR EL BAY ELLOZGA,2020-06-30,Baisse de débit en période de pointe au niveau du piquage Sonede.,en cours d'exécution des travaux de recalibrage de la conduite d'adduction qui alimente le point de piquage (au niveau de la station de reprise : Douar el Bay ) par la SONEDE   (Prière d'intervenire auprès de la SECADENORD pour activer l'autorisasation à la SONEDE pour le travarsée du CANAL )                                                NB: Travaux de pose achevés et reste l'auorisation de la SECADENORD  pour le traversée du CANAL,P
456,Bou Jarboua,2020-06-30,"réhab,SR",fin juillet,P
457,Markez Mosbeh,2020-06-30,pression faible,appel d'offre en cours pour création SR,P
458,OM Saleh,2020-06-30,pression faible,appel d'offre en cours pour création SR,P
19,Ezznazfa,2020-07-07,,,F
459,Mhedhba_ Chnaina_ Kasr Rih,2020-06-30,pression faible,appel d'offre en cours pour création SR,P
460,Sidi Hssen Belhaj Hlelefa,2020-06-30,transfert à la SONEDE,fin juillet,P
461,Bousaid Hadhara,2020-06-30,,,F
462,Sbih,2020-06-30,manque de ressources + dettes,après réechelonnement des dettes,P
463,Naouel (3GDA),2020-06-30,dettes SONEDE,après réechelonnement des dettes,A
464,Intlaka Aouled Amor,2020-06-30,,,F
465,Intlika Aouled Amor nouveau,2020-06-30,,,F
466,Intlika Aouled Amor Ancien,2020-06-30,,,F
467,Mghadhia,2020-06-30,,,F
468,Mghadhia Chouket,2020-06-30,,,F
469,Ethet Chlaya,2020-06-30,"Réhab,SAEP",2021,A
470,Ghaib,2020-06-30,,,F
471,Satour et swaktia - Jerwala,2020-06-30,,,F
472,Bou said Hadhara,2020-06-30,,,F
473,Bousaid Knitra,2020-06-30,,,F
474,Bousaid Knitra ,2020-06-30,,,F
475,Aouled Fatnassi,2020-06-30,,,F
476,Sidi Ghrib,2020-06-30,"Réhab,SAEP",AOUT 2020,A
477,Gragour,2020-06-30,dettes SONEDE + panne technique (bouchage),,P
478,Gargour,2020-06-30,,,P
479,Sawa3ed,2020-06-30,,,F
480,Bouladhieb,2020-06-30,,,F
481,Bou ladhieb,2020-06-30,,,F
482,Frajnia ,2020-06-30,,,F
483,Frajnia,2020-06-30,,,F
484,Frajnia (Ben sahloun),2020-06-30,,,F
485,Bou Ladhieb (aouled saada),2020-06-30,,,F
486,Rbai ouled aliya,2020-06-30,"Réhab,SAEP",2021,A
487,Oudrane Nord,2020-06-30,manque de ressources,aout 2020,P
488,Chaaleb,2020-06-30,dettes SONEDE + panne technique (casses de conduite fréquentes),aout 2020,P
489, Chaaleb,2020-06-30,,,P
490,L'abrage,2020-06-30,,,F
491,Ltaifa 1,2020-06-30,,,F
492,Ltaifa 2,2020-06-30,,,F
493,ltafia2,2020-06-30,,,F
494,Bir Abbes,2020-06-30,,,F
495,Sidi abd kafi,2020-06-30,,,F
496,Sidi Abd Kafi ,2020-06-30,,,F
497,Sidi Issa,2020-06-30,,,F
498,Sidi issa_choucha,2020-06-30,,,F
499,Attcha,2020-06-30,,,F
500,Kraima,2020-06-30,,,F
501,Attacha,2020-06-30,,,F
502,Raghayia,2020-06-30,,,F
503,Msadga,2020-06-30,,,F
504,Raghaya,2020-06-30,,,F
505,Zelyana,2020-06-30,,,F
506,Om choucha1,2020-06-30,,,F
507,Om choucha 2,2020-06-30,,,F
508,Om choucha,2020-06-30,,,F
509,choket ,2020-06-30,,,F
510,Jerwala_Satour,2020-06-30,,,F
511,Jerwala_Satour(aouled Bahri),2020-06-30,,,F
512,Jerwala,2020-06-30,,,F
513,Melha SAEP Sbih,2020-06-30,manque de ressources + dettes,après réechelonnement des dettes,P
514,Chfafra AEP Sbih,2020-06-30,manque de ressources + dettes,après réechelonnement des dettes,P
515,Zobra AEP Sbih,2020-06-30,manque de ressources + dettes,après réechelonnement des dettes,P
516,Zaboussa Khawala,2020-06-30,dettes SONEDE + panne technique (casses de conduite fréquentes),aout 2020,P
517,Atil,2020-06-30,dettes SONEDE + panne technique (casses de conduite fréquentes),aout 2020,P
518,Frichet,2020-06-30,dettes SONEDE + panne technique (casses de conduite fréquentes),aout 2020,P
519,Nawel -ouled gmar,2020-06-30,,,A
520,Chabet Zitouna,2020-06-30,,,F
521,Bir El Aati,2020-06-30,,,F
523,El Argoub,2020-06-30,,,F
524,El Mdhila,2020-06-30,Baisse de débit  au niveau du piquage Sonede,mai-21,P
525,El Farch,2020-06-30,,,F
526,SAMAR Oudayet AbdOunis,2020-06-30,,,F
527,Stah Gheryani,2020-06-30,,,F
528,Azaliik  Labaith,2020-06-30,,,F
529,Kerchaw,2020-06-30,,,F
531,Bni Yakhzer,2020-06-30,,,F
